fruit_type,freshness,temp_c,humidity_pct,mq135_co2_ppm,mq3_alcohol_ppm,mq4_methane_ppm,mq137_ammonia_ppm,mq138_benzene_ppm,spoilage_index
Orange,Moderately Fresh,19.5,52.4,359.5,67.1,21.7,11.1,11.2,0.279
Banana,Moderately Fresh,28.7,62.8,629.4,68.8,48.6,16.7,51.3,0.344
Orange,Moderately Fresh,26.1,56.1,395.4,103.4,29.0,10.4,20.3,0.306
Apple,Moderately Fresh,26.3,88.8,592.5,81.6,35.5,8.6,26.6,0.348
Apple,Spoiled,21.2,67.5,1424.6,744.7,214.8,83.6,201.3,0.92
Apple,Moderately Fresh,15.6,80.5,273.7,64.8,17.7,7.4,15.7,0.468
Banana,Fresh,29.0,86.3,254.5,9.1,12.1,3.7,3.7,0.017
Apple,Fresh,22.2,62.9,143.0,32.7,11.2,2.6,3.0,0.002
Banana,Moderately Fresh,24.9,57.0,369.6,93.3,41.7,11.6,45.6,0.453
Banana,Spoiled,31.1,86.3,2025.1,789.8,314.2,99.7,196.1,0.895
Apple,Moderately Fresh,29.9,69.1,577.2,112.6,27.3,7.6,21.2,0.304
Orange,Spoiled,29.9,61.8,1861.2,1077.2,289.8,113.1,228.7,0.683
Orange,Fresh,23.4,58.2,180.8,25.0,9.2,0.7,7.4,0.052
Apple,Spoiled,21.3,71.0,1686.1,1007.1,174.6,88.4,138.4,0.806
Apple,Moderately Fresh,20.8,66.4,460.3,59.4,15.4,12.4,15.2,0.597
Apple,Moderately Fresh,20.9,70.2,465.4,79.2,18.4,9.7,21.9,0.574
Orange,Moderately Fresh,21.5,69.4,477.3,82.7,26.8,11.5,16.7,0.545
Apple,Moderately Fresh,24.5,79.3,425.4,67.4,40.8,11.8,13.4,0.542
Orange,Moderately Fresh,24.9,65.6,447.5,37.6,36.9,11.7,30.7,0.47
Apple,Spoiled,25.4,81.4,984.9,816.5,292.7,97.6,175.3,0.883
Apple,Moderately Fresh,31.4,55.5,589.9,97.8,32.6,12.6,17.9,0.293
Orange,Spoiled,29.3,84.2,2108.0,633.9,351.8,95.6,245.5,0.846
Orange,Spoiled,23.3,83.1,1803.9,761.4,268.5,82.2,174.4,0.926
Banana,Spoiled,16.9,72.2,1314.7,651.3,265.9,66.5,176.2,0.986
Orange,Fresh,17.1,51.4,168.5,17.8,6.9,3.5,4.9,0.095
Banana,Fresh,15.7,74.8,148.0,12.7,5.2,1.8,4.3,0.069
Banana,Spoiled,16.4,85.8,1500.9,722.1,177.9,59.6,122.7,0.961
Banana,Fresh,31.3,74.4,223.8,29.3,14.8,3.5,2.8,0.028
Orange,Fresh,19.7,65.5,166.0,16.7,7.7,4.1,5.3,0.098
Orange,Spoiled,21.9,74.7,916.7,953.7,281.4,92.2,217.9,0.711
Banana,Spoiled,14.2,57.3,1258.2,707.9,128.9,89.2,194.6,0.81
Orange,Fresh,22.0,50.5,157.9,16.2,9.6,4.7,4.2,0.2
Orange,Moderately Fresh,25.7,62.8,549.8,61.9,30.3,10.4,24.2,0.436
Apple,Moderately Fresh,19.5,81.5,405.3,70.4,24.2,9.9,22.0,0.491
Apple,Spoiled,17.7,61.6,1591.1,700.9,211.7,107.0,182.5,0.667
Orange,Fresh,30.2,70.2,234.1,33.3,16.4,6.1,4.1,0.065
Apple,Moderately Fresh,13.6,55.8,458.7,52.0,15.3,8.6,25.7,0.301
Orange,Spoiled,24.8,85.4,1640.1,704.9,220.6,69.5,200.0,0.842
Orange,Moderately Fresh,26.6,81.7,642.7,93.5,28.7,14.7,22.0,0.608
Banana,Spoiled,26.5,50.9,1773.0,1056.5,292.9,97.8,141.1,0.676
Apple,Spoiled,16.3,78.3,1336.1,804.9,284.8,77.3,190.8,0.709
Orange,Moderately Fresh,18.5,72.2,344.7,58.0,21.4,10.0,9.4,0.428
Banana,Fresh,22.7,68.0,116.3,24.4,11.3,4.7,9.3,0.013
Orange,Moderately Fresh,14.2,50.7,485.7,64.7,19.3,8.1,16.5,0.391
Banana,Spoiled,21.0,83.9,1324.2,960.6,236.4,81.9,228.5,0.772
Banana,Spoiled,18.9,50.0,1459.4,906.7,284.7,97.1,200.9,0.736
Banana,Fresh,18.9,58.0,183.1,31.0,7.9,2.9,5.2,0.047
Banana,Moderately Fresh,30.6,82.2,591.7,107.1,47.7,15.4,46.8,0.407
Orange,Moderately Fresh,21.2,77.8,460.9,81.5,25.9,10.5,24.3,0.29
Apple,Fresh,23.8,54.8,176.4,14.2,12.5,2.9,3.6,0.066
Apple,Fresh,29.5,67.0,159.3,30.3,11.9,2.4,8.7,0.066
Apple,Spoiled,25.5,69.5,2164.1,841.4,273.2,84.1,153.9,0.699
Orange,Spoiled,23.7,82.7,1544.6,957.4,360.8,79.3,219.1,0.833
Apple,Fresh,26.9,52.6,187.4,32.4,12.9,2.0,7.8,0.137
Banana,Moderately Fresh,12.8,86.5,327.5,23.2,37.4,9.1,38.3,0.609
Banana,Spoiled,22.2,72.9,1472.8,696.4,293.0,106.3,169.1,0.993
Apple,Moderately Fresh,15.0,57.6,412.9,51.4,29.9,8.7,19.1,0.574
Apple,Moderately Fresh,27.7,76.9,519.6,86.0,28.5,17.2,18.4,0.537
Apple,Spoiled,17.3,58.2,1122.1,345.2,267.1,54.8,147.8,0.719
Orange,Fresh,19.4,79.4,117.2,17.6,11.6,4.0,4.5,0.226
Apple,Spoiled,26.6,52.9,1720.3,1413.5,290.1,109.0,181.0,0.993
Apple,Spoiled,29.8,62.9,1473.0,891.5,310.9,112.9,216.2,0.962
Apple,Fresh,22.1,83.7,239.6,20.9,8.7,3.3,7.5,0.118
Banana,Spoiled,30.4,58.8,1938.5,963.6,250.4,97.9,213.6,0.749
Apple,Moderately Fresh,21.2,80.9,414.6,84.1,30.9,9.8,27.8,0.432
Apple,Moderately Fresh,20.8,74.7,449.7,49.8,29.4,10.7,25.0,0.351
Apple,Spoiled,20.6,77.9,1289.0,927.1,305.4,100.6,133.3,0.843
Apple,Spoiled,21.7,84.6,1544.1,897.0,198.8,96.6,124.1,0.962
Apple,Moderately Fresh,24.0,50.8,592.4,74.9,23.0,9.3,14.9,0.524
Orange,Fresh,24.6,73.8,247.7,30.7,8.5,4.2,4.5,0.063
Apple,Spoiled,16.4,54.6,1470.7,809.6,215.6,88.6,151.9,0.739
Banana,Fresh,12.7,54.4,173.3,21.2,6.7,1.6,2.7,0.215
Banana,Moderately Fresh,16.6,82.1,435.4,76.1,39.8,9.4,37.3,0.271
Orange,Fresh,14.7,71.8,205.1,11.2,9.1,4.2,3.8,0.089
Orange,Fresh,16.6,74.8,166.5,17.1,9.7,3.7,5.4,0.232
Banana,Fresh,29.7,75.4,218.2,39.6,15.6,2.4,8.5,0.099
Orange,Spoiled,22.0,83.6,1840.7,793.3,350.4,71.4,180.5,0.714
Banana,Fresh,21.4,83.2,221.0,23.2,5.6,3.5,10.1,0.174
Apple,Spoiled,17.8,55.1,1100.1,772.9,305.9,75.4,184.6,0.745
Orange,Spoiled,18.2,86.7,1565.0,827.3,185.0,91.3,179.7,0.669
Apple,Fresh,24.2,56.7,148.8,23.1,7.3,3.4,7.7,0.004
Banana,Moderately Fresh,15.7,72.9,461.8,76.5,33.6,8.8,27.9,0.389
Apple,Moderately Fresh,15.0,88.2,370.6,49.1,16.4,8.3,16.6,0.511
Orange,Fresh,17.5,78.7,187.0,15.7,6.7,4.1,5.9,0.136
Banana,Spoiled,14.6,64.0,1041.8,876.0,245.0,65.1,206.9,0.953
Orange,Spoiled,24.0,56.9,1297.1,1115.5,298.3,87.5,229.3,0.749
Banana,Moderately Fresh,22.8,89.8,465.8,44.3,40.4,11.7,31.2,0.43
Banana,Spoiled,28.3,55.0,2296.8,968.8,359.9,83.0,218.6,0.992
Banana,Fresh,21.2,83.6,170.9,20.2,11.8,1.8,6.0,0.048
Apple,Spoiled,30.8,52.9,1964.5,949.5,304.2,106.9,184.5,0.991
Apple,Fresh,28.0,86.6,229.4,29.3,12.3,6.1,3.6,0.19
Orange,Spoiled,26.6,70.8,1654.0,1227.1,236.0,107.9,199.4,0.823
Apple,Spoiled,20.4,87.4,1043.7,768.9,277.2,86.1,138.6,0.781
Orange,Moderately Fresh,29.2,82.3,521.1,108.9,28.5,13.0,23.4,0.344
Apple,Fresh,24.0,65.7,111.8,26.3,5.6,0.8,5.1,0.07
Banana,Moderately Fresh,13.0,78.4,371.0,56.4,38.3,10.9,28.4,0.52
Orange,Moderately Fresh,16.7,86.5,351.9,71.5,26.8,10.0,19.3,0.574
Banana,Moderately Fresh,25.8,56.6,402.3,65.6,48.1,9.3,54.4,0.471
Apple,Spoiled,30.0,65.2,1884.7,1203.2,211.0,113.6,189.3,0.737
Orange,Moderately Fresh,23.2,86.3,472.0,74.6,33.8,10.1,29.1,0.449
Apple,Fresh,12.2,82.0,169.0,16.1,8.2,3.3,2.8,0.128
Orange,Moderately Fresh,13.6,75.8,515.2,59.3,25.2,9.8,13.0,0.611
Apple,Spoiled,28.2,67.6,1525.5,1025.4,298.4,98.3,200.7,0.871
Banana,Spoiled,21.8,75.5,1615.6,712.5,352.6,91.0,239.9,0.684
Banana,Spoiled,29.6,75.3,1914.8,1246.6,309.3,70.1,198.8,0.882
Apple,Spoiled,20.6,60.2,1407.7,905.6,198.4,108.2,188.8,0.752
Orange,Moderately Fresh,14.9,78.1,500.8,69.4,19.9,10.3,24.8,0.556
Apple,Fresh,25.1,67.3,199.1,22.7,13.1,4.0,5.8,0.168
Banana,Spoiled,24.0,56.5,2095.8,726.2,286.3,113.8,228.3,0.725
Banana,Spoiled,31.8,73.1,1885.9,794.9,364.7,102.8,231.1,0.914
Banana,Moderately Fresh,29.3,79.4,554.7,52.2,59.5,9.0,29.4,0.443
Banana,Spoiled,22.0,65.9,1876.6,1041.3,242.6,57.3,164.7,0.99
Apple,Moderately Fresh,18.2,71.7,520.6,54.8,25.8,10.0,19.1,0.391
Orange,Spoiled,18.3,52.2,1174.2,695.4,261.0,52.0,171.2,0.99
Banana,Fresh,16.2,66.2,167.7,22.6,9.8,2.7,5.0,0.177
Orange,Spoiled,14.8,70.5,1000.8,807.1,244.4,52.9,181.6,0.908
Apple,Spoiled,18.0,56.4,1405.9,808.3,176.2,110.6,126.1,0.677
Banana,Spoiled,30.8,81.4,1563.9,1317.2,280.5,116.8,186.4,0.883
Apple,Fresh,32.0,50.3,261.6,35.1,8.4,4.0,4.8,0.09
Orange,Spoiled,20.2,60.5,1593.4,1036.9,284.4,90.5,201.4,0.898
Banana,Fresh,21.7,71.4,161.1,33.6,10.8,3.7,4.2,0.093
Banana,Fresh,22.7,80.2,203.7,23.5,7.9,4.2,5.4,0.221
Apple,Spoiled,26.9,82.4,1200.5,909.3,278.9,125.0,201.3,0.842
Apple,Moderately Fresh,27.6,63.9,623.5,64.3,25.4,13.7,19.2,0.504
Apple,Spoiled,28.2,75.3,1580.2,846.9,241.8,88.6,251.9,0.703
Banana,Moderately Fresh,23.6,85.9,596.3,80.1,43.2,10.5,44.3,0.576
Orange,Moderately Fresh,20.3,75.1,424.9,102.2,18.3,9.2,22.9,0.271
Orange,Fresh,16.6,86.4,158.1,18.8,9.5,3.4,5.6,0.213
Apple,Moderately Fresh,12.9,78.7,428.0,41.9,17.4,10.5,17.3,0.523
Banana,Spoiled,30.9,72.4,1382.3,1088.4,303.6,98.1,241.6,0.863
Banana,Moderately Fresh,22.4,86.6,474.8,81.7,56.2,12.8,39.1,0.32
Orange,Moderately Fresh,30.1,82.1,546.4,65.7,35.6,9.5,27.8,0.596
Orange,Spoiled,18.8,79.5,1660.8,1098.0,270.1,83.8,173.7,0.8
Banana,Spoiled,21.3,79.2,1555.4,848.2,227.7,84.1,144.4,0.976
Apple,Moderately Fresh,27.7,74.5,550.5,87.8,40.1,13.5,26.9,0.556
Banana,Spoiled,31.9,86.1,1463.1,1145.4,306.4,103.2,269.6,0.921
Orange,Moderately Fresh,24.1,51.9,449.4,54.7,24.5,13.8,26.2,0.579
Orange,Moderately Fresh,20.3,68.4,444.4,89.6,38.1,12.0,13.7,0.308
Apple,Fresh,22.9,85.7,199.6,16.7,9.6,2.2,6.0,0.227
Banana,Moderately Fresh,18.5,71.8,397.8,78.5,28.3,13.2,33.8,0.54
Apple,Moderately Fresh,29.0,58.4,566.1,83.0,36.4,10.6,30.4,0.572
Orange,Fresh,22.5,81.9,209.5,21.1,12.5,3.7,6.5,0.111
Orange,Spoiled,31.5,85.6,1899.1,1034.1,263.9,114.7,208.1,0.849
Apple,Moderately Fresh,14.3,76.3,374.7,64.0,26.7,7.9,14.7,0.446
Banana,Fresh,17.1,56.0,156.7,16.4,7.1,2.7,4.5,0.059
Apple,Spoiled,20.9,81.9,1799.4,991.9,292.1,94.5,202.9,0.891
Orange,Moderately Fresh,25.3,67.5,450.1,60.5,16.7,9.9,26.8,0.558
Apple,Fresh,20.1,52.6,173.0,30.4,8.1,2.8,2.8,0.214
Banana,Spoiled,15.7,77.2,1480.0,874.0,201.2,93.7,91.4,0.879
Orange,Spoiled,31.3,87.9,1763.5,1115.0,202.7,81.8,157.9,0.893
Apple,Spoiled,27.2,87.0,2140.7,933.8,122.0,126.0,191.8,0.812
Apple,Moderately Fresh,19.8,59.0,469.7,81.6,19.7,10.7,24.3,0.317
Banana,Fresh,26.4,76.4,252.4,23.9,4.9,4.2,6.6,0.027
Apple,Spoiled,19.3,60.2,1725.9,977.1,281.5,74.0,184.9,0.924
Apple,Fresh,15.6,71.0,198.5,20.2,8.8,0.6,3.8,0.188
Apple,Spoiled,17.7,86.5,1781.0,656.2,234.9,92.4,170.7,0.661
Orange,Moderately Fresh,29.7,71.4,571.8,104.2,21.2,9.4,20.8,0.438
Banana,Moderately Fresh,24.8,76.6,545.5,73.4,53.9,9.8,47.7,0.293
Apple,Spoiled,14.5,75.2,1176.4,764.0,235.5,45.7,186.2,0.76
Orange,Fresh,28.0,77.7,216.4,16.2,10.7,4.5,7.7,0.044
Banana,Moderately Fresh,23.8,77.6,522.9,62.2,44.8,12.5,38.8,0.325
Banana,Fresh,24.2,69.4,178.8,29.4,10.2,3.1,7.1,0.179
Banana,Spoiled,18.6,66.4,734.5,739.8,192.7,89.0,168.7,0.958
Apple,Spoiled,30.5,89.2,1814.7,921.9,286.3,95.2,240.6,0.686
Banana,Spoiled,13.3,70.7,1187.2,798.5,204.1,88.2,129.8,0.744
Banana,Fresh,16.6,63.5,135.2,9.0,9.7,3.2,3.3,0.162
Apple,Fresh,27.9,56.6,211.3,21.5,9.7,3.4,3.8,0.079
Orange,Spoiled,15.4,59.0,1385.7,817.7,251.0,67.3,179.8,0.687
Apple,Moderately Fresh,17.4,78.4,480.6,69.9,21.1,11.5,12.2,0.628
Banana,Moderately Fresh,20.3,88.7,490.6,68.3,43.5,10.4,45.3,0.542
Banana,Fresh,21.0,52.4,171.2,22.8,10.7,3.0,5.2,0.238
Apple,Moderately Fresh,25.5,62.4,467.2,80.8,23.5,8.1,14.8,0.332
Apple,Fresh,25.5,71.0,213.2,12.0,11.5,2.7,7.4,0.131
Apple,Spoiled,31.1,63.2,1808.0,894.4,304.5,90.2,283.2,0.959
Apple,Spoiled,29.3,83.6,1756.5,1076.5,340.8,114.7,172.2,0.766
Apple,Fresh,31.2,82.3,237.1,24.1,7.0,5.9,5.1,0.216
Banana,Fresh,26.8,81.5,203.0,20.2,6.1,3.2,6.5,0.149
Banana,Fresh,21.3,53.2,136.8,19.9,15.6,3.3,5.3,0.162
Apple,Fresh,14.8,70.9,163.8,14.2,9.2,2.2,3.9,0.24
Apple,Spoiled,31.4,87.2,2053.6,723.9,346.6,103.1,220.3,0.76
Banana,Moderately Fresh,17.8,77.3,407.4,63.6,47.4,10.1,33.6,0.343
Apple,Spoiled,17.6,65.1,1242.9,1002.3,216.8,89.6,115.8,0.966
Apple,Spoiled,17.3,55.2,1677.5,694.5,246.2,88.0,151.4,0.997
Apple,Moderately Fresh,20.7,73.8,546.4,40.6,17.6,10.8,25.0,0.503
Orange,Fresh,20.4,78.5,159.2,18.8,16.2,2.8,4.9,0.013
Banana,Moderately Fresh,24.9,73.5,403.1,76.1,46.4,11.3,32.4,0.302
Banana,Fresh,29.9,81.8,184.3,27.0,10.9,3.9,4.5,0.173
Banana,Spoiled,23.1,75.6,1749.9,988.1,224.5,75.4,235.7,0.998
Orange,Spoiled,21.8,64.2,1348.1,1119.8,363.4,89.7,148.8,0.884
Orange,Moderately Fresh,15.6,50.4,334.8,81.8,18.5,9.8,20.6,0.481
Banana,Fresh,29.8,64.4,207.9,12.4,10.9,3.4,3.8,0.003
Apple,Fresh,13.2,71.7,148.0,17.5,8.6,1.8,5.5,0.233
Apple,Fresh,13.4,77.6,136.0,21.0,8.6,2.6,2.6,0.108
Banana,Spoiled,22.9,56.5,1290.6,675.1,216.3,100.7,155.3,0.997
Apple,Spoiled,13.2,72.5,1716.2,735.2,173.4,98.2,172.6,0.805
Apple,Fresh,13.0,70.5,141.2,10.6,8.5,1.3,3.2,0.101
Orange,Spoiled,16.5,55.4,1787.9,963.3,167.0,76.3,229.4,0.876
Banana,Spoiled,12.0,70.0,1301.9,842.6,210.2,63.2,192.1,0.772
Apple,Moderately Fresh,13.4,71.2,324.7,70.3,27.4,10.3,20.3,0.494
Orange,Spoiled,15.7,86.5,1281.0,854.0,199.1,71.1,161.4,0.91
Apple,Fresh,27.2,58.0,225.6,26.1,11.9,5.3,3.7,0.119
Banana,Fresh,15.0,84.5,151.0,21.5,9.9,1.2,2.5,0.056
Apple,Moderately Fresh,28.5,65.1,590.4,90.3,28.1,14.1,22.5,0.464
Apple,Spoiled,15.6,80.0,1128.2,755.9,228.0,63.0,159.2,0.913
Orange,Spoiled,16.8,70.5,1677.9,863.2,240.5,74.5,168.7,0.701
Apple,Spoiled,21.8,72.8,1009.4,679.1,287.7,110.5,206.1,0.735
Banana,Moderately Fresh,26.3,56.1,534.9,67.8,47.2,17.1,38.2,0.492
Banana,Moderately Fresh,28.1,71.6,488.5,67.4,64.3,8.9,39.4,0.63
Apple,Fresh,26.2,75.9,157.9,27.4,11.1,3.3,4.1,0.154
Banana,Spoiled,21.0,57.6,1572.4,870.1,224.4,87.5,131.7,0.727
Apple,Spoiled,14.1,78.3,1131.9,886.7,222.0,88.3,201.5,0.915
Apple,Fresh,21.8,54.0,191.4,20.3,11.5,4.0,4.8,0.038
Apple,Fresh,22.7,71.9,182.3,20.9,13.3,4.4,5.3,0.121
Orange,Spoiled,20.2,72.3,1459.0,739.5,268.6,75.0,140.3,0.993
Banana,Fresh,31.2,74.8,226.2,21.8,13.5,5.6,5.4,0.229
Apple,Moderately Fresh,27.8,71.5,469.5,58.1,40.9,8.7,28.4,0.368
Orange,Fresh,26.7,68.3,255.7,20.8,8.9,4.2,7.7,0.003
Apple,Spoiled,14.0,71.8,1204.4,879.1,198.6,82.6,169.2,0.763
Orange,Spoiled,31.9,75.0,2076.6,837.3,257.9,110.7,235.2,0.998
Orange,Moderately Fresh,28.1,81.5,572.2,78.8,26.5,16.4,33.8,0.625
Apple,Spoiled,14.8,50.6,1435.7,595.7,309.1,76.0,125.9,0.869
Orange,Spoiled,23.2,64.2,1494.3,830.8,282.1,78.0,206.0,0.976
Orange,Moderately Fresh,12.5,68.5,363.2,50.9,20.1,7.7,10.2,0.434
Apple,Fresh,17.1,67.7,215.4,17.5,8.6,3.7,3.8,0.187
Orange,Spoiled,28.3,72.2,1840.0,1105.2,289.4,100.2,225.7,0.824
Banana,Fresh,17.6,50.0,175.4,14.1,11.8,2.8,3.5,0.203
Apple,Fresh,22.5,55.2,198.5,13.8,10.2,3.8,6.6,0.084
Apple,Fresh,29.5,84.6,268.4,30.0,13.6,1.6,7.6,0.202
Apple,Spoiled,18.4,77.0,1297.6,825.0,293.0,76.7,203.9,0.685
Orange,Fresh,20.4,64.2,206.2,26.0,9.3,0.7,5.7,0.049
Banana,Fresh,28.0,83.8,206.6,32.4,9.8,5.5,4.8,0.234
Orange,Spoiled,31.4,87.9,1837.8,1165.3,285.6,67.7,128.9,0.986
Banana,Moderately Fresh,25.7,84.1,679.0,73.4,47.3,11.7,45.1,0.445
Banana,Fresh,29.8,87.3,203.5,28.3,9.1,5.3,6.2,0.199
Orange,Spoiled,22.8,62.7,1848.8,1070.5,389.3,77.0,228.1,0.816
Orange,Spoiled,31.5,77.4,1409.4,1133.1,240.4,105.3,209.8,0.739
Apple,Moderately Fresh,21.5,85.6,500.1,46.1,25.7,11.0,22.1,0.445
Banana,Fresh,21.5,74.2,174.5,24.5,13.7,1.9,4.8,0.247
Orange,Moderately Fresh,24.5,89.8,386.0,56.6,37.5,12.1,18.3,0.282
Orange,Moderately Fresh,16.0,61.5,437.6,67.7,23.7,9.8,15.6,0.552
Apple,Moderately Fresh,20.5,71.9,334.2,51.2,23.2,8.7,14.9,0.484
Orange,Fresh,26.9,52.1,186.4,25.6,13.1,2.9,6.0,0.043
Banana,Moderately Fresh,17.5,77.8,420.6,60.9,35.6,7.7,31.3,0.524
Orange,Fresh,27.3,79.9,221.8,26.7,10.8,4.6,6.3,0.206
Banana,Fresh,15.9,53.2,147.3,19.6,12.0,4.2,3.4,0.102
Apple,Spoiled,25.2,79.4,1659.1,617.3,330.6,100.1,206.3,0.793
Orange,Moderately Fresh,29.8,77.5,537.1,63.9,39.3,14.8,22.0,0.362
Apple,Moderately Fresh,13.0,50.9,405.9,67.3,21.0,7.4,20.2,0.464
Banana,Spoiled,13.9,86.0,1706.1,702.3,270.1,78.1,151.8,0.772
Apple,Fresh,26.8,88.4,212.2,26.9,11.5,3.4,5.4,0.037
Orange,Moderately Fresh,29.5,87.3,495.5,47.0,18.1,13.6,22.8,0.523
Apple,Moderately Fresh,12.3,53.5,472.8,78.9,15.5,8.1,21.2,0.534
Banana,Spoiled,25.4,86.6,1496.2,1092.9,300.1,98.1,104.2,0.802
Apple,Spoiled,15.7,54.0,1622.6,940.9,214.4,93.6,183.8,0.954
Banana,Moderately Fresh,28.1,76.3,602.0,95.9,55.2,11.2,39.2,0.299
Orange,Spoiled,26.2,83.5,1671.8,1084.4,324.9,93.7,187.2,0.728
Banana,Spoiled,13.7,84.8,1345.7,545.2,182.7,97.0,204.1,0.75
Banana,Moderately Fresh,15.5,55.6,413.0,63.6,43.4,6.1,33.3,0.525
Apple,Fresh,29.9,57.1,184.1,13.8,11.8,3.5,2.9,0.145
Banana,Fresh,31.4,80.6,248.4,20.3,10.2,0.5,7.3,0.131
Banana,Spoiled,28.9,62.1,1825.9,1324.9,281.8,113.0,279.1,0.885
Apple,Fresh,16.4,57.3,157.6,12.5,9.7,3.6,5.5,0.092
Orange,Moderately Fresh,17.1,80.8,452.6,57.8,33.7,9.0,25.2,0.335
Banana,Moderately Fresh,17.9,71.7,393.8,54.8,51.1,10.8,40.2,0.573
Orange,Spoiled,27.4,87.1,1511.5,1213.9,309.5,127.3,150.5,0.759
Apple,Fresh,13.8,61.1,155.3,18.4,7.7,3.1,3.7,0.015
Banana,Fresh,28.2,56.4,181.9,29.6,13.0,4.0,6.9,0.034
Banana,Moderately Fresh,29.2,83.8,464.5,66.5,62.2,11.5,47.2,0.457
Banana,Moderately Fresh,12.0,75.9,328.0,73.9,36.8,6.5,32.7,0.351
Apple,Fresh,28.0,71.0,168.1,23.4,14.7,1.8,5.4,0.226
Orange,Fresh,20.7,66.0,162.0,22.5,14.3,3.4,4.7,0.02
Apple,Moderately Fresh,25.9,64.9,333.1,85.0,17.2,11.3,21.2,0.335
Banana,Spoiled,24.4,72.8,1561.8,937.3,313.5,80.5,211.0,0.991
Orange,Fresh,18.4,68.9,172.1,13.6,10.9,2.8,3.1,0.17
Orange,Moderately Fresh,15.9,85.8,411.6,81.8,26.3,12.3,18.9,0.627
Orange,Spoiled,30.1,66.0,1835.0,1058.0,336.7,99.4,307.1,0.73
Banana,Spoiled,19.3,72.6,1543.8,882.7,185.4,102.9,212.9,0.818
Orange,Spoiled,24.2,54.3,1349.3,1040.3,304.3,118.1,194.1,0.932
Orange,Fresh,22.1,75.1,165.1,30.2,9.3,2.3,5.3,0.056
Orange,Moderately Fresh,22.5,82.5,497.7,110.9,20.3,12.0,25.9,0.605
Orange,Moderately Fresh,31.7,84.4,573.0,102.6,37.8,11.7,25.7,0.406
Orange,Spoiled,29.6,58.4,1568.6,814.4,320.5,82.8,233.6,0.674
Apple,Moderately Fresh,31.6,76.4,638.4,105.6,25.1,11.5,27.6,0.634
Orange,Fresh,27.2,68.2,186.7,23.8,14.7,2.4,5.3,0.217
Banana,Moderately Fresh,24.6,62.1,566.7,102.6,48.5,6.2,37.1,0.286
Apple,Fresh,30.2,50.0,200.0,18.7,10.8,3.2,6.8,0.113
Banana,Moderately Fresh,27.1,65.2,517.6,74.7,41.8,12.6,38.8,0.36
Banana,Moderately Fresh,29.3,79.7,428.5,51.9,50.1,13.9,41.0,0.512
Banana,Moderately Fresh,29.8,74.7,677.6,81.8,57.2,13.6,35.3,0.645
Orange,Spoiled,20.7,87.8,1272.3,760.7,226.4,82.4,139.3,0.998
Banana,Moderately Fresh,21.0,81.8,393.1,62.1,49.5,11.1,39.6,0.346
Apple,Spoiled,23.2,73.4,1901.8,1024.4,327.2,112.2,199.0,0.952
Apple,Spoiled,25.2,87.8,1702.8,491.8,344.4,87.3,234.3,0.877
Banana,Moderately Fresh,24.2,75.8,474.9,74.8,49.2,11.8,27.7,0.622
Orange,Moderately Fresh,22.4,89.5,554.6,59.2,29.1,9.3,14.3,0.34
Banana,Fresh,27.4,80.7,191.0,26.5,9.4,4.2,7.6,0.065
Banana,Spoiled,16.1,58.2,1608.3,666.0,261.4,51.3,200.9,0.972
Apple,Fresh,30.3,58.6,207.9,18.9,10.6,3.2,7.4,0.18
Orange,Moderately Fresh,31.7,84.0,627.7,81.0,35.1,11.5,24.9,0.263
Orange,Moderately Fresh,27.4,52.3,507.2,106.5,33.3,10.8,22.9,0.409
Orange,Moderately Fresh,21.6,57.6,428.4,101.9,20.1,10.7,20.9,0.562
Apple,Fresh,15.3,66.7,154.6,18.7,8.1,2.9,4.4,0.182
Apple,Fresh,18.1,83.1,177.7,15.4,11.3,2.5,4.9,0.226
Apple,Moderately Fresh,13.6,68.2,472.7,52.2,20.8,10.5,22.2,0.272
Banana,Spoiled,14.1,79.4,1265.0,762.4,199.9,72.4,201.8,0.962
Orange,Moderately Fresh,25.9,56.7,456.7,45.0,37.5,12.3,21.7,0.335
Apple,Fresh,26.4,88.8,214.0,28.2,8.6,4.4,5.9,0.141
Apple,Moderately Fresh,19.9,50.8,436.4,59.3,19.2,9.3,18.5,0.305
Apple,Moderately Fresh,16.8,50.5,427.4,55.2,22.5,8.6,19.2,0.318
Apple,Spoiled,14.9,85.8,1391.4,747.4,211.6,67.4,183.6,0.815
Orange,Spoiled,24.9,57.1,1816.3,873.7,244.8,78.7,179.3,0.723
Apple,Spoiled,28.3,84.8,1482.3,1126.4,312.8,87.9,154.3,0.935
Orange,Fresh,12.7,89.5,191.6,10.6,6.8,1.4,4.1,0.148
Banana,Moderately Fresh,31.2,82.7,455.0,56.8,59.1,13.7,41.2,0.35
Orange,Moderately Fresh,27.2,61.5,626.6,84.9,30.1,7.6,30.0,0.484
Apple,Fresh,24.3,62.6,206.9,23.5,8.7,3.9,7.1,0.095
Banana,Spoiled,25.6,54.8,1882.3,914.9,334.5,87.0,224.1,0.845
Apple,Fresh,20.0,82.7,214.9,18.0,13.6,1.3,6.0,0.071
Banana,Spoiled,13.1,73.1,1499.0,994.8,224.5,70.8,172.1,0.916
Apple,Fresh,26.2,69.4,177.8,21.9,11.0,2.5,6.5,0.137
Orange,Fresh,15.9,59.4,146.7,16.4,13.8,4.2,4.1,0.184
Banana,Moderately Fresh,29.6,68.2,510.2,117.8,64.5,10.7,32.1,0.344
